Nom Album, Chemin Album, Woojin, Bang Chan, Lee Know, Changbin, Hyunjin, Han, Felix, Seungmin, I.N
Mixtape, ./images/albums/01-2018-Mixtape/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
I am not, ./images/albums/02-2018-I_am_not/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
I am who, ./images/albums/03-2018-I_am_who/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
I am you, ./images/albums/04-2018-I_am_you/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Clé 1 : Miroh, ./images/albums/05-2019-Cle_miroh/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Clé 2 : Yellow wood, ./images/albums/06-2019-Cle_yellow_wood/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Clé : Levanter, ./images/albums/07-2019-Cle_levanter/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Top, ./images/albums/08-2020-Top/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Go live, ./images/albums/09-2020-Go_live/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
In life, ./images/albums/10-2020-In_life/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
All in, ./images/albums/11-2020-All_in/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Noeasy, ./images/albums/12-2021-Noeasy/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Scars, ./images/albums/13-2021-Scars/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Christmas eveL, ./images/albums/14-2021-Christmas_eveL/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Oddinary, ./images/albums/15-2022-Oddinary/Couverture.jpg, 0, 0, 1, 0, 1, 0, 0, 0, 0
Circus, ./images/albums/16-2022-Circus/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Maxident, ./images/albums/17-2022-Maxident/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
The sound, ./images/albums/18-2023-The_sound/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
5-star, ./images/albums/19-2023-5-star/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Social path / Super bowl, ./images/albums/20-2023-Social_path_super_bowl/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Rock-star, ./images/albums/21-2023-Rock-star/Couverture.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0
Ate, ./images/albums/22-2024-Ate/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Giant, ./images/albums/23-2024-Giant/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Hop, ./images/albums/24-2024-Hop/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Hollow, ./images/albums/25-2025-Hollow/Couverture.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0
Karma, ./images/albums/26-2025-Karma/Couverture.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0
Do it, ./images/albums/27-2025-Do_it/Couverture.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0 
DVD DominATE Seoul, ./images/Logo-StrayKids.png, 0, 1, 1, 1, 1, 1, 1, 1, 1

